cell_id,lat_idx,lon_idx,lat_center,lon_center,year,count
9_0,9,0,43.0,123.0,2002,0
9_0,9,0,43.0,123.0,2003,0
9_0,9,0,43.0,123.0,2004,0
9_0,9,0,43.0,123.0,2005,0
9_0,9,0,43.0,123.0,2006,0
9_0,9,0,43.0,123.0,2007,0
9_0,9,0,43.0,123.0,2008,0
9_0,9,0,43.0,123.0,2009,0
9_0,9,0,43.0,123.0,2010,0
9_0,9,0,43.0,123.0,2011,0
9_0,9,0,43.0,123.0,2012,0
9_0,9,0,43.0,123.0,2013,1
9_0,9,0,43.0,123.0,2014,0
9_0,9,0,43.0,123.0,2015,0
9_0,9,0,43.0,123.0,2016,0
9_0,9,0,43.0,123.0,2017,0
9_0,9,0,43.0,123.0,2018,1
9_0,9,0,43.0,123.0,2019,0
9_0,9,0,43.0,123.0,2020,0
9_0,9,0,43.0,123.0,2021,0
9_0,9,0,43.0,123.0,2022,0
9_0,9,0,43.0,123.0,2023,0
9_1,9,1,43.0,125.0,2000,0
9_1,9,1,43.0,125.0,2001,0
9_1,9,1,43.0,125.0,2002,0
9_1,9,1,43.0,125.0,2003,0
9_1,9,1,43.0,125.0,2004,0
9_1,9,1,43.0,125.0,2005,0
9_1,9,1,43.0,125.0,2006,0
9_1,9,1,43.0,125.0,2007,0
9_1,9,1,43.0,125.0,2008,0
9_1,9,1,43.0,125.0,2009,1
9_1,9,1,43.0,125.0,2010,0
9_1,9,1,43.0,125.0,2011,0
9_1,9,1,43.0,125.0,2012,0
9_1,9,1,43.0,125.0,2013,0
9_1,9,1,43.0,125.0,2014,0
9_1,9,1,43.0,125.0,2015,0
9_1,9,1,43.0,125.0,2016,0
9_1,9,1,43.0,125.0,2017,0
9_1,9,1,43.0,125.0,2018,0
9_1,9,1,43.0,125.0,2019,0
9_1,9,1,43.0,125.0,2020,0
9_1,9,1,43.0,125.0,2021,0
9_1,9,1,43.0,125.0,2022,0
9_1,9,1,43.0,125.0,2023,0
9_10,9,10,43.0,143.0,2000,15
9_10,9,10,43.0,143.0,2001,12
9_10,9,10,43.0,143.0,2002,15
9_10,9,10,43.0,143.0,2003,47
